Dapagliflozin DILI = 0.5813, Ames = 0.1719, hERG = 0.1342, CYP3A4 = 0.0955, Teratogenicity = 0.6565
Pioglitazone DILI = 0.9433, Ames = 0.2306, hERG = 0.6121, CYP3A4 = 0.7691, Teratogenicity = 0.5371
Omeprazole DILI = 0.9276, Ames = 0.4120, hERG = 0.2117, CYP3A4 = 0.7794, Teratogenicity = 0.1500
Pantoprazole DILI = 0.9694, Ames = 0.3397, hERG = 0.1201, CYP3A4 = 0.7771, Teratogenicity = 0.2467
Ranitidine DILI = 0.6620, Ames = 0.3514, hERG = 0.1832, CYP3A4 = 0.0585, Teratogenicity = 0.3427
Lansoprazole DILI = 0.9687, Ames = 0.3624, hERG = 0.4675, CYP3A4 = 0.7959, Teratogenicity = 0.4430
Domperidone DILI = 0.6827, Ames = 0.0876, hERG = 0.9516, CYP3A4 = 0.5388, Teratogenicity = 0.6890
Metoclopramide DILI = 0.3005, Ames = 0.3592, hERG = 0.4287, CYP3A4 = 0.1659, Teratogenicity = 0.4895
Ondansetron DILI = 0.8383, Ames = 0.5337, hERG = 0.8198, CYP3A4 = 0.7011, Teratogenicity = 0.6043
Loperamide DILI = 0.0676, Ames = 0.0788, hERG = 0.8581, CYP3A4 = 0.7123, Teratogenicity = 0.3312
Mesalazine DILI = 0.4121, Ames = 0.3837, hERG = 0.0037, CYP3A4 = 0.0121, Teratogenicity = 0.3684
Salbutamol DILI = 0.0224, Ames = 0.0958, hERG = 0.0983, CYP3A4 = 0.0404, Teratogenicity = 0.4718
Salmeterol DILI = 0.0378, Ames = 0.0077, hERG = 0.4050, CYP3A4 = 0.3273, Teratogenicity = 0.1726
Formoterol DILI = 0.0440, Ames = 0.0854, hERG = 0.1000, CYP3A4 = 0.0664, Teratogenicity = 0.2872
Budesonide DILI = 0.1911, Ames = 0.0394, hERG = 0.1881, CYP3A4 = 0.1192, Teratogenicity = 0.9022
Fluticasone DILI = 0.1203, Ames = 0.2206, hERG = 0.3119, CYP3A4 = 0.4920, Teratogenicity = 0.8502
Montelukast DILI = 0.4155, Ames = 0.0230, hERG = 0.4133, CYP3A4 = 0.5310, Teratogenicity = 0.1825
Cetirizine DILI = 0.3253, Ames = 0.0264, hERG = 0.2163, CYP3A4 = 0.1941, Teratogenicity = 0.1679
Loratadine DILI = 0.2807, Ames = 0.3258, hERG = 0.8379, CYP3A4 = 0.5043, Teratogenicity = 0.5409
Fexofenadine DILI = 0.2277, Ames = 0.1419, hERG = 0.2653, CYP3A4 = 0.5232, Teratogenicity = 0.2396
Diphenhydramine DILI = 0.0723, Ames = 0.1604, hERG = 0.6357, CYP3A4 = 0.1050, Teratogenicity = 0.2948
Chlorpheniramine DILI = 0.0899, Ames = 0.2111, hERG = 0.5698, CYP3A4 = 0.1334, Teratogenicity = 0.4979
Pseudoephedrine DILI = 0.0350, Ames = 0.2448, hERG = 0.1127, CYP3A4 = 0.0334, Teratogenicity = 0.2900
Fluoxetine DILI = 0.0846, Ames = 0.0401, hERG = 0.8717, CYP3A4 = 0.5585, Teratogenicity = 0.5325
Sertraline DILI = 0.1251, Ames = 0.3798, hERG = 0.8095, CYP3A4 = 0.6163, Teratogenicity = 0.6968
Paroxetine DILI = 0.5827, Ames = 0.3632, hERG = 0.8112, CYP3A4 = 0.2973, Teratogenicity = 0.7718
Escitalopram DILI = 0.3130, Ames = 0.4209, hERG = 0.9103, CYP3A4 = 0.2600, Teratogenicity = 0.7981
Venlafaxine DILI = 0.0890, Ames = 0.1328, hERG = 0.2789, CYP3A4 = 0.2360, Teratogenicity = 0.1240
Duloxetine DILI = 0.8542, Ames = 0.4338, hERG = 0.8752, CYP3A4 = 0.7193, Teratogenicity = 0.4864
Amitriptyline DILI = 0.1424, Ames = 0.6809, hERG = 0.7680, CYP3A4 = 0.1021, Teratogenicity = 0.5555
Diazepam DILI = 0.8214, Ames = 0.2033, hERG = 0.4335, CYP3A4 = 0.2718, Teratogenicity = 0.4210
Lorazepam DILI = 0.9393, Ames = 0.1317, hERG = 0.0975, CYP3A4 = 0.1751, Teratogenicity = 0.6573
Alprazolam DILI = 0.6232, Ames = 0.1568, hERG = 0.6903, CYP3A4 = 0.3986, Teratogenicity = 0.4790
Zolpidem DILI = 0.9099, Ames = 0.6112, hERG = 0.4337, CYP3A4 = 0.4204, Teratogenicity = 0.3149
Haloperidol DILI = 0.3062, Ames = 0.0487, hERG = 0.9405, CYP3A4 = 0.4083, Teratogenicity = 0.7597
Risperidone DILI = 0.9005, Ames = 0.0814, hERG = 0.9403, CYP3A4 = 0.3878, Teratogenicity = 0.7902
Quetiapine DILI = 0.7860, Ames = 0.1027, hERG = 0.8886, CYP3A4 = 0.6611, Teratogenicity = 0.4205
Carbamazepine DILI = 0.8986, Ames = 0.4059, hERG = 0.2444, CYP3A4 = 0.4478, Teratogenicity = 0.4671
Valproate DILI = 0.0496, Ames = 0.0681, hERG = 0.0318, CYP3A4 = 0.0224, Teratogenicity = 0.4466
Lamotrigine DILI = 0.8515, Ames = 0.8132, hERG = 0.0649, CYP3A4 = 0.0800, Teratogenicity = 0.3111
Levetiracetam DILI = 0.0744, Ames = 0.1638, hERG = 0.0326, CYP3A4 = 0.0159, Teratogenicity = 0.3724
Gabapentin DILI = 0.0579, Ames = 0.1162, hERG = 0.0170, CYP3A4 = 0.0070, Teratogenicity = 0.5936
Pregabalin DILI = 0.0274, Ames = 0.1689, hERG = 0.0108, CYP3A4 = 0.0039, Teratogenicity = 0.3966
Donepezil DILI = 0.2671, Ames = 0.0491, hERG = 0.9282, CYP3A4 = 0.7410, Teratogenicity = 0.5722
Memantine DILI = 0.0804, Ames = 0.1501, hERG = 0.1278, CYP3A4 = 0.1138, Teratogenicity = 0.6953
Methylphenidate DILI = 0.2954, Ames = 0.0510, hERG = 0.1080, CYP3A4 = 0.2253, Teratogenicity = 0.5406
Bupropion DILI = 0.1435, Ames = 0.1166, hERG = 0.1555, CYP3A4 = 0.1948, Teratogenicity = 0.4511
Fluconazole DILI = 0.4778, Ames = 0.4446, hERG = 0.3103, CYP3A4 = 0.8074, Teratogenicity = 0.7507
Clotrimazole DILI = 0.4823, Ames = 0.2635, hERG = 0.7237, CYP3A4 = 0.8450, Teratogenicity = 0.5117
Acyclovir DILI = 0.9606, Ames = 0.4111, hERG = 0.0442, CYP3A4 = 0.0372, Teratogenicity = 0.2278
Oseltamivir DILI = 0.1779, Ames = 0.0664, hERG = 0.1411, CYP3A4 = 0.0721, Teratogenicity = 0.7080
Hydroxychloroquine DILI = 0.4376, Ames = 0.1651, hERG = 0.7864, CYP3A4 = 0.4244, Teratogenicity = 0.2925
Albendazole DILI = 0.9220, Ames = 0.2463, hERG = 0.1944, CYP3A4 = 0.2068, Teratogenicity = 0.4024
