Dapagliflozin DILI = 0.5841, Ames = 0.1750, hERG = 0.0682, CYP3A4 = 0.0718, Teratogenicity = 0.4812
Pioglitazone DILI = 0.9353, Ames = 0.0780, hERG = 0.4004, CYP3A4 = 0.8045, Teratogenicity = 0.4228
Omeprazole DILI = 0.8937, Ames = 0.3611, hERG = 0.2304, CYP3A4 = 0.8898, Teratogenicity = 0.1543
Pantoprazole DILI = 0.9550, Ames = 0.2420, hERG = 0.1815, CYP3A4 = 0.8636, Teratogenicity = 0.1435
Ranitidine DILI = 0.6998, Ames = 0.1995, hERG = 0.0456, CYP3A4 = 0.0647, Teratogenicity = 0.4169
Lansoprazole DILI = 0.9606, Ames = 0.1392, hERG = 0.4948, CYP3A4 = 0.8905, Teratogenicity = 0.4000
Domperidone DILI = 0.5929, Ames = 0.0700, hERG = 0.9715, CYP3A4 = 0.5986, Teratogenicity = 0.3344
Metoclopramide DILI = 0.2813, Ames = 0.6719, hERG = 0.8079, CYP3A4 = 0.1110, Teratogenicity = 0.5648
Ondansetron DILI = 0.5978, Ames = 0.3738, hERG = 0.9065, CYP3A4 = 0.7954, Teratogenicity = 0.3242
Loperamide DILI = 0.0882, Ames = 0.0426, hERG = 0.9175, CYP3A4 = 0.6673, Teratogenicity = 0.3110
Mesalazine DILI = 0.2925, Ames = 0.4085, hERG = 0.0003, CYP3A4 = 0.0125, Teratogenicity = 0.5224
Salbutamol DILI = 0.0232, Ames = 0.0376, hERG = 0.0622, CYP3A4 = 0.0341, Teratogenicity = 0.3708
Salmeterol DILI = 0.0460, Ames = 0.0070, hERG = 0.3356, CYP3A4 = 0.3090, Teratogenicity = 0.2515
Formoterol DILI = 0.0444, Ames = 0.0790, hERG = 0.0487, CYP3A4 = 0.0332, Teratogenicity = 0.3323
Budesonide DILI = 0.2243, Ames = 0.0353, hERG = 0.0871, CYP3A4 = 0.1103, Teratogenicity = 0.9069
Fluticasone DILI = 0.1128, Ames = 0.0559, hERG = 0.2361, CYP3A4 = 0.6997, Teratogenicity = 0.8624
Montelukast DILI = 0.2263, Ames = 0.0052, hERG = 0.6986, CYP3A4 = 0.2303, Teratogenicity = 0.1575
Cetirizine DILI = 0.2838, Ames = 0.0196, hERG = 0.1918, CYP3A4 = 0.1210, Teratogenicity = 0.1754
Loratadine DILI = 0.4141, Ames = 0.1144, hERG = 0.8686, CYP3A4 = 0.5531, Teratogenicity = 0.3359
Fexofenadine DILI = 0.1745, Ames = 0.0204, hERG = 0.1811, CYP3A4 = 0.4255, Teratogenicity = 0.2439
Diphenhydramine DILI = 0.0949, Ames = 0.1804, hERG = 0.7682, CYP3A4 = 0.0239, Teratogenicity = 0.1738
Chlorpheniramine DILI = 0.0768, Ames = 0.1750, hERG = 0.7416, CYP3A4 = 0.0540, Teratogenicity = 0.1902
Pseudoephedrine DILI = 0.0450, Ames = 0.1988, hERG = 0.0603, CYP3A4 = 0.0168, Teratogenicity = 0.3049
Fluoxetine DILI = 0.0941, Ames = 0.0353, hERG = 0.9509, CYP3A4 = 0.4796, Teratogenicity = 0.4412
Sertraline DILI = 0.1778, Ames = 0.1459, hERG = 0.8986, CYP3A4 = 0.5382, Teratogenicity = 0.2328
Paroxetine DILI = 0.7391, Ames = 0.1635, hERG = 0.7900, CYP3A4 = 0.1831, Teratogenicity = 0.6307
Escitalopram DILI = 0.2892, Ames = 0.1810, hERG = 0.9757, CYP3A4 = 0.1485, Teratogenicity = 0.7811
Venlafaxine DILI = 0.0833, Ames = 0.1556, hERG = 0.5211, CYP3A4 = 0.1333, Teratogenicity = 0.1547
Duloxetine DILI = 0.7703, Ames = 0.3955, hERG = 0.9158, CYP3A4 = 0.7128, Teratogenicity = 0.4747
Amitriptyline DILI = 0.1896, Ames = 0.6536, hERG = 0.6195, CYP3A4 = 0.0356, Teratogenicity = 0.2438
Diazepam DILI = 0.6961, Ames = 0.1477, hERG = 0.0627, CYP3A4 = 0.2197, Teratogenicity = 0.2523
Lorazepam DILI = 0.9457, Ames = 0.0377, hERG = 0.0516, CYP3A4 = 0.1978, Teratogenicity = 0.3316
Alprazolam DILI = 0.4937, Ames = 0.0682, hERG = 0.1717, CYP3A4 = 0.3446, Teratogenicity = 0.2364
Zolpidem DILI = 0.8533, Ames = 0.5180, hERG = 0.3331, CYP3A4 = 0.3966, Teratogenicity = 0.2907
Haloperidol DILI = 0.3729, Ames = 0.0184, hERG = 0.9814, CYP3A4 = 0.2686, Teratogenicity = 0.7472
Risperidone DILI = 0.8391, Ames = 0.3185, hERG = 0.9835, CYP3A4 = 0.4086, Teratogenicity = 0.3243
Quetiapine DILI = 0.7976, Ames = 0.0397, hERG = 0.7636, CYP3A4 = 0.3172, Teratogenicity = 0.3389
Carbamazepine DILI = 0.9255, Ames = 0.6181, hERG = 0.0611, CYP3A4 = 0.3088, Teratogenicity = 0.3512
Valproate DILI = 0.0516, Ames = 0.0375, hERG = 0.0012, CYP3A4 = 0.0172, Teratogenicity = 0.6580
Lamotrigine DILI = 0.8989, Ames = 0.6383, hERG = 0.0223, CYP3A4 = 0.0533, Teratogenicity = 0.2482
Levetiracetam DILI = 0.0841, Ames = 0.1201, hERG = 0.0045, CYP3A4 = 0.0069, Teratogenicity = 0.5414
Gabapentin DILI = 0.0681, Ames = 0.0363, hERG = 0.0005, CYP3A4 = 0.0022, Teratogenicity = 0.6680
Pregabalin DILI = 0.0284, Ames = 0.1535, hERG = 0.0009, CYP3A4 = 0.0024, Teratogenicity = 0.7086
Donepezil DILI = 0.1510, Ames = 0.0161, hERG = 0.9491, CYP3A4 = 0.7060, Teratogenicity = 0.3536
Memantine DILI = 0.0639, Ames = 0.1880, hERG = 0.1259, CYP3A4 = 0.0711, Teratogenicity = 0.6826
Methylphenidate DILI = 0.1191, Ames = 0.0406, hERG = 0.0419, CYP3A4 = 0.2906, Teratogenicity = 0.3464
Bupropion DILI = 0.1286, Ames = 0.1143, hERG = 0.0799, CYP3A4 = 0.1753, Teratogenicity = 0.3102
Fluconazole DILI = 0.6229, Ames = 0.1014, hERG = 0.1425, CYP3A4 = 0.7362, Teratogenicity = 0.7822
Clotrimazole DILI = 0.5522, Ames = 0.2159, hERG = 0.8366, CYP3A4 = 0.9344, Teratogenicity = 0.2605
Acyclovir DILI = 0.9467, Ames = 0.4187, hERG = 0.0067, CYP3A4 = 0.0155, Teratogenicity = 0.5648
Oseltamivir DILI = 0.1273, Ames = 0.0524, hERG = 0.0826, CYP3A4 = 0.0424, Teratogenicity = 0.6339
Hydroxychloroquine DILI = 0.3976, Ames = 0.2550, hERG = 0.8580, CYP3A4 = 0.3023, Teratogenicity = 0.3230
Albendazole DILI = 0.8774, Ames = 0.1163, hERG = 0.0527, CYP3A4 = 0.1853, Teratogenicity = 0.4079
Ketoconazole DILI = 0.3639, Ames = 0.0328, hERG = 0.9862, CYP3A4 = 0.9477, Teratogenicity = 0.2235
Cefixime DILI = 0.9427, Ames = 0.0686, hERG = 0.0139, CYP3A4 = 0.0076, Teratogenicity = 0.6219
Vancomycin DILI = 0.8661, Ames = 0.0700, hERG = 0.7988, CYP3A4 = 0.4467, Teratogenicity = 0.5370
Isoniazid DILI = 0.6523, Ames = 0.6846, hERG = 0.0160, CYP3A4 = 0.3668, Teratogenicity = 0.5713
Nevirapine DILI = 0.9161, Ames = 0.8950, hERG = 0.0227, CYP3A4 = 0.2574, Teratogenicity = 0.2817
Efavirenz DILI = 0.8577, Ames = 0.2352, hERG = 0.8533, CYP3A4 = 0.8316, Teratogenicity = 0.6931
Zidovudine DILI = 0.9600, Ames = 0.9015, hERG = 0.0080, CYP3A4 = 0.0081, Teratogenicity = 0.7080
Lamivudine DILI = 0.9617, Ames = 0.1982, hERG = 0.0070, CYP3A4 = 0.0159, Teratogenicity = 0.3551
Allopurinol DILI = 0.9701, Ames = 0.6556, hERG = 0.0096, CYP3A4 = 0.2997, Teratogenicity = 0.6493
Colchicine DILI = 0.8715, Ames = 0.4690, hERG = 0.0536, CYP3A4 = 0.8474, Teratogenicity = 0.5481
Prednisone DILI = 0.1668, Ames = 0.0132, hERG = 0.0339, CYP3A4 = 0.1110, Teratogenicity = 0.8048
Estradiol DILI = 0.1015, Ames = 0.0554, hERG = 0.1461, CYP3A4 = 0.0504, Teratogenicity = 0.4193
Progesterone DILI = 0.1324, Ames = 0.0448, hERG = 0.0539, CYP3A4 = 0.0692, Teratogenicity = 0.7521
Testosterone DILI = 0.4872, Ames = 0.0933, hERG = 0.0181, CYP3A4 = 0.0535, Teratogenicity = 0.7468
Finasteride DILI = 0.1115, Ames = 0.0646, hERG = 0.0396, CYP3A4 = 0.2177, Teratogenicity = 0.6876
Sildenafil DILI = 0.9674, Ames = 0.1766, hERG = 0.0088, CYP3A4 = 0.6116, Teratogenicity = 0.3953
Tadalafil DILI = 0.7865, Ames = 0.6923, hERG = 0.0415, CYP3A4 = 0.8744, Teratogenicity = 0.6452
Oxybutynin DILI = 0.0336, Ames = 0.0250, hERG = 0.8406, CYP3A4 = 0.5877, Teratogenicity = 0.3677
Tamsulosin DILI = 0.8978, Ames = 0.0546, hERG = 0.1403, CYP3A4 = 0.4992, Teratogenicity = 0.2273
Nitrofurantoin DILI = 0.9651, Ames = 0.7334, hERG = 0.0446, CYP3A4 = 0.5241, Teratogenicity = 0.6816
Morphine_128 DILI = 0.0325, Ames = 0.1898, hERG = 0.1131, CYP3A4 = 0.0473, Teratogenicity = 0.4052
Codeine_129 DILI = 0.0454, Ames = 0.0237, hERG = 0.0370, CYP3A4 = 0.0422, Teratogenicity = 0.6440
Amoxicillin_130 DILI = 0.5611, Ames = 0.0188, hERG = 0.0068, CYP3A4 = 0.0333, Teratogenicity = 0.4050
Ampicillin_131 DILI = 0.3584, Ames = 0.0215, hERG = 0.0108, CYP3A4 = 0.0519, Teratogenicity = 0.4328
Penicillin G_132 DILI = 0.2472, Ames = 0.0236, hERG = 0.0164, CYP3A4 = 0.0310, Teratogenicity = 0.3809
Azithromycin_133 DILI = 0.8094, Ames = 0.0193, hERG = 0.1340, CYP3A4 = 0.3637, Teratogenicity = 0.7424
Ciprofloxacin_134 DILI = 0.9441, Ames = 0.6390, hERG = 0.0414, CYP3A4 = 0.0318, Teratogenicity = 0.7484
Levofloxacin_135 DILI = 0.8672, Ames = 0.0962, hERG = 0.3110, CYP3A4 = 0.1057, Teratogenicity = 0.7961
Doxycycline_136 DILI = 0.6408, Ames = 0.1072, hERG = 0.0310, CYP3A4 = 0.0262, Teratogenicity = 0.6456
Clarithromycin_137 DILI = 0.7030, Ames = 0.0406, hERG = 0.0203, CYP3A4 = 0.1828, Teratogenicity = 0.6854
Metronidazole_138 DILI = 0.3634, Ames = 0.6996, hERG = 0.0100, CYP3A4 = 0.0093, Teratogenicity = 0.5713
Amlodipine_140 DILI = 0.6695, Ames = 0.0062, hERG = 0.5030, CYP3A4 = 0.9046, Teratogenicity = 0.1217
Lisinopril_141 DILI = 0.2045, Ames = 0.0347, hERG = 0.0080, CYP3A4 = 0.0705, Teratogenicity = 0.3609
Losartan_142 DILI = 0.8807, Ames = 0.0323, hERG = 0.6417, CYP3A4 = 0.8804, Teratogenicity = 0.3704
Metoprolol_144 DILI = 0.0460, Ames = 0.1939, hERG = 0.3920, CYP3A4 = 0.0800, Teratogenicity = 0.2206
Atenolol_145 DILI = 0.0830, Ames = 0.2029, hERG = 0.1116, CYP3A4 = 0.0534, Teratogenicity = 0.3074
Bisoprolol_146 DILI = 0.1119, Ames = 0.1218, hERG = 0.5888, CYP3A4 = 0.3348, Teratogenicity = 0.3147
Carvedilol_147 DILI = 0.1117, Ames = 0.1168, hERG = 0.7658, CYP3A4 = 0.7398, Teratogenicity = 0.2539
Enalapril_148 DILI = 0.2103, Ames = 0.0205, hERG = 0.0948, CYP3A4 = 0.1463, Teratogenicity = 0.1594
Ramipril_149 DILI = 0.2123, Ames = 0.0268, hERG = 0.2183, CYP3A4 = 0.3076, Teratogenicity = 0.1963
Irbesartan_150 DILI = 0.4345, Ames = 0.0699, hERG = 0.8498, CYP3A4 = 0.8791, Teratogenicity = 0.3991
Olmesartan_151 DILI = 0.9431, Ames = 0.0251, hERG = 0.3072, CYP3A4 = 0.8638, Teratogenicity = 0.4357
Telmisartan_152 DILI = 0.6538, Ames = 0.0988, hERG = 0.9248, CYP3A4 = 0.5227, Teratogenicity = 0.3770
Hydrochlorothiazide_153 DILI = 0.7898, Ames = 0.0236, hERG = 0.0174, CYP3A4 = 0.0277, Teratogenicity = 0.5837
Furosemide_154 DILI = 0.9838, Ames = 0.0195, hERG = 0.1546, CYP3A4 = 0.2895, Teratogenicity = 0.4911
Spironolactone_155 DILI = 0.1116, Ames = 0.0337, hERG = 0.0681, CYP3A4 = 0.1996, Teratogenicity = 0.7305
